"","Return_Year","Bonn_Sockeye_24hr","Bonn_Sockeye_adj","RockI_Sockeye_24hr","RockI_gt_Bonn_diff","RockI_Sockeye_adj","RRH_Sockeye_24hr","Wells_Sockeye_24hr","Well_gt_RRH_diff","Well_gt_RRH_pct","RRH_Sockeye_adj","Wells_Sockeye_adj","RRH_to_Wells_Loss","RRH_to_Well_Pct","Tum_Sockeye_24hr","Tum_Sockeye_adj","RIS_vs_RRH_plus_TUM","RRH_RIS_chk"
"1",1977,104120,104120,90261,NA,90261,28726,21973,NA,NA,28726,21973,6753,0.235083199888603,NA,NA,NA,NA
"2",1978,19049,19049,14936,NA,14936,9351,7644,NA,NA,9351,7644,1707,0.182547321142124,NA,NA,NA,NA
"3",1979,54681,54681,50583,NA,50583,32418,26655,NA,NA,32418,26655,5763,0.177771608365723,NA,NA,NA,NA
"4",1980,61218,61218,52657,NA,52657,33495,26573,NA,NA,33495,26573,6922,0.206657710105986,NA,NA,NA,NA
"5",1981,58244,58244,47139,NA,47139,34327,28234,NA,NA,34327,28234,6093,0.177498761907536,NA,NA,NA,NA
"6",1982,52164,52164,41111,NA,41111,19464,19005,NA,NA,19464,19005,459,0.0235819975339088,NA,NA,NA,NA
"7",1983,104852,104852,86424,NA,86424,29208,27925,NA,NA,29208,27925,1283,0.0439263215557382,NA,NA,NA,NA
"8",1984,159537,159537,109092,NA,109092,82085,81054,NA,NA,82085,81054,1031,0.0125601510629226,NA,NA,NA,NA
"9",1985,174065,174065,103200,NA,103200,60566,59984,NA,NA,60566,59984,582,0.00960935178152759,NA,NA,NA,NA
"10",1986,60424,60424,49788,NA,49788,36857,39380,2523,6.84537536967198,42872,39380,NA,-0.0684537536967198,NA,NA,NA,NA
"11",1987,122144,122144,69868,NA,69868,46049,45416,NA,NA,46049,45416,633,0.0137462268453169,NA,NA,NA,NA
"12",1988,83025,83025,49177,NA,49177,38180,38463,283,0.741225772655841,41874,38463,NA,-0.00741225772655841,NA,NA,NA,NA
"13",1989,43462,43462,37360,NA,37360,18116,18085,NA,NA,18116,18085,31,0.00171119452417752,NA,NA,NA,NA
"14",1990,51497,51497,44143,NA,44143,10412,8613,NA,NA,10412,8613,1799,0.172781406069919,NA,NA,NA,NA
"15",1991,79638,79638,62118,NA,62118,30733,31119,386,1.25597891517262,33878,31119,NA,-0.0125597891517262,NA,NA,NA,NA
"16",1992,88557,88557,68359,NA,68359,46820,47489,669,1.42887654848355,51700,47489,NA,-0.0142887654848355,NA,NA,NA,NA
"17",1993,83512,83512,65630,NA,65630,31717,31525,NA,NA,31717,31525,192,0.00605353595863417,NA,NA,NA,NA
"18",1994,13141,13141,10976,NA,10976,1662,1886,224,13.4777376654633,2053,1886,NA,-0.134777376654633,NA,NA,NA,NA
"19",1995,9075,9075,9462,387,9075,4988,5538,550,11.0264635124298,6029,5538,NA,-0.110264635124298,NA,NA,NA,NA
"20",1996,31149,31149,29500,NA,29500,21741,20038,NA,NA,21741,20038,1703,0.078331263511338,NA,NA,NA,NA
"21",1997,47951,47951,40375,NA,40375,30661,27871,NA,NA,30661,27871,2790,0.0909950751769349,NA,NA,NA,NA
"22",1998,13517,13517,9367,NA,9367,5988,4666,NA,NA,5988,4666,1322,0.220774883099532,NA,NA,NA,NA
"23",1999,18242,18242,18371,129,18242,14111,12388,NA,NA,14111,12388,1723,0.122103323648218,1172,1172,2959,NA
"24",2000,97326,97326,76512,NA,76512,57428,59944,2516,4.38113812077732,65259,59944,NA,-0.0438113812077732,20979,20979,-4411,NA
"25",2001,119981,119981,104840,NA,104840,66220,74486,8266,12.4826336454243,81091,74486,NA,-0.124826336454243,32633,32633,-2279,NA
"26",2002,51109,51109,44319,NA,44319,12373,10659,NA,NA,12373,10659,1714,0.138527438777984,27821,27821,4125,NA
"27",2003,40757,40757,34779,NA,34779,30355,29374,NA,NA,30355,29374,981,0.0323175753582606,5074,5074,-650,NA
"28",2004,128763,128763,106666,NA,106666,81338,78053,NA,NA,81338,78053,3285,0.0403870269738622,33167,33167,-7839,NA
"29",2005,75962,75962,71226,NA,71226,55570,55559,NA,NA,55570,55559,11,0.000197948533381321,14218,14218,1438,NA
"30",2006,38437,38437,35132,NA,35132,25377,22075,NA,NA,25377,22075,3302,0.130117823225756,9657,9657,98,NA
"31",2007,25222,25222,25122,NA,25122,20683,22273,1590,7.68747280375187,24248,22273,NA,-0.0768747280375187,2607,2607,242,NA
"32",2008,223911,223911,193739,NA,193739,161343,165334,3991,2.47361211828217,179994,165334,NA,-0.0247361211828217,28340,28340,65,NA
"33",2009,186166,186166,162830,NA,162830,133106,134937,1831,1.37559539014019,146902,134937,NA,-0.0137559539014019,16034,16034,11859,NA
"34",2010,406925,406925,338310,NA,338310,295638,291764,NA,NA,295638,291764,3874,0.0131038635087506,35821,35821,6851,NA
"35",2011,194571,194571,146111,NA,146111,132096,111508,NA,NA,132096,111508,20588,0.155856346899225,18634,18634,-4619,NA
"36",2012,544106,544106,410620,NA,410620,363314,326107,NA,NA,363314,326107,37207,0.102410036497355,66520,66520,-19214,NA
"37",2013,197737,197737,159208,NA,159208,131655,129993,NA,NA,131655,129993,1662,0.0126239033838441,29015,29015,-1462,NA
"38",2014,655983,655983,581121,NA,581121,492892,490804,NA,NA,492892,490804,2088,0.00423622213385488,99901,99901,-11672,NA
"39",2015,545156,545156,264678,NA,264678,216389,187055,NA,NA,216389,187055,29334,0.135561419480658,51566,51566,-3277,NA
"40",2016,357826,357826,310341,NA,310341,235925,216036,NA,NA,235925,216036,19889,0.0843022146868708,73697,73697,719,NA
"41",2017,89955,89955,73218,NA,73218,46701,42299,NA,NA,46701,42299,4402,0.0942592235712297,23854,23854,2663,NA
"42",2018,198150,198150,172009,NA,172009,162684,153637,NA,NA,162684,153637,9047,0.0556108775294436,13973,13973,-4648,NA
"43",2019,66279,66279,58562,NA,58562,50464,49862,NA,NA,50464,49862,602,0.011929296131896,8877,8877,-779,NA
"44",2020,357555,357555,280440,NA,280440,249521,226107,NA,NA,249521,226107,23414,0.0938357893724376,43391,43391,-12472,NA
"45",2021,161564,161564,109367,NA,109367,82643,76255,NA,NA,82643,76255,6388,0.0772963227375579,30826,30826,-4102,NA
"46",2022,696983,696983,659933,NA,659933,562721,478418,NA,NA,562721,478418,84303,0.149813140081852,110693,110693,-13481,NA
"47",2023,344462,344462,247772,NA,247772,149525,136956,NA,NA,149525,136956,12569,0.0840595218190938,84473,84473,13774,NA
